abandon,abandoned
deserve,deserved
desiccate,desiccated
design,designed
designate,designated
desire,desired
desist,desisted
desolate,desolated
despair,despaired
despatch,despatched
despise,despised
despoil,despoiled
destabilize,destabilized
destine,destined
destroy,destroyed
destruct,destructed
detach,detached
detail,detailed
detain,detained
detect,detected
deter,deterred
deteriorate,deteriorated
determine,determined
detest,detested
dethrone,dethroned
detonate,detonated
detour,detoured
detox,detoxed
detoxify,detoxified
detract,detracted
devalue,devalued
devastate,devastated
develop,developed
deviate,deviated
devil,deviled
devise,devised
devitalize,devitalized
devolve,devolved
devote,devoted
devour,devoured
diagnose,diagnosed
diagram,diagrammed
dial,dialed
diaper,diapered
dibble,dibbled
dice,diced
dicker,dickered
dictate,dictated
diddle,diddled
die,died
diesel,dieseled
diet,dieted
differ,differed
differentiate,differentiated
diffuse,diffused
dig,dug
digest,digested
digitize,digitized
dignify,dignified
digress,digressed
dike,diked
dilate,dilated
dillydally,dillydallied
dilute,diluted
dim,dimmed
diminish,diminished
dimple,dimpled
din,dinned
dine,dined
ding,dinged
dinner,dinnered
dip,dipped
direct,directed
dirty,dirtied
dis,dissed
disable,disabled
disabuse,disabused
disadvantage,disadvantaged
disaffect,disaffected
disaffiliate,disaffiliated
disagree,disagreed
disallow,disallowed
disappear,disappeared
disappoint,disappointed
disapprove,disapproved
disarm,disarmed
disarrange,disarranged
disarray,disarrayed
disassemble,disassembled
disassociate,disassociated
disavow,disavowed
disband,disbanded
disbar,disbarred
disbelieve,disbelieved
disburse,disbursed
discard,discarded
discern,discerned
discharge,discharged
discipline,disciplined
disclaim,disclaimed
disclose,disclosed
disco,discoed
discolor,discolored
discolour,discoloured
discombobulate,discombobulated
discomfit,discomfited
discomfort,discomforted
discommode,discommoded
discompose,discomposed
disconcert,disconcerted
disconnect,disconnected
discontent,discontented
discontinue,discontinued
discord,discorded
discount,discounted
discountenance,discountenanced
discourage,discouraged
discourse,discoursed
discover,discovered
discredit,discredited
discriminate,discriminated
discuss,discussed
disdain,disdained
disembark,disembarked
disembody,disembodied
disembowel,disemboweled
disenchant,disenchanted
disencumber,disencumbered
disenfranchise,disenfranchised
disengage,disengaged
disentangle,disentangled
disestablish,disestablished
disesteem,disesteemed
disfavor,disfavored
disfigure,disfigured
disfranchise,disfranchised
disgorge,disgorged
disgrace,disgraced
disgruntle,disgruntled
disguise,disguised
